campaign_id,client_id,campaign_name,campaign_type,platform,start_date,end_date,budget_inr,objective
CMP00043,CL0245,PPC - Brand Awareness,Pay Per Click,Google Ads,2026-09-06,2025-10-22,55423,-
CMP00044,CL0290,SEO - Website Traffic,seo,Organic Search (Google),2025-12-20,2026-09-02,39177,Website Traffic
CMP00045,CL0092,PPC - Sales / Conversions,PPC,Google Ads,2025-09-20,2026-07-12,105646,Sales / Conversions
CMP00046,CL0247,PPC - Website Traffic,PPC,Google Ads,2026-07-03,2026-09-06,31052,Website Traffic
CMP00047,CL0253,Content Marketing - Local Footfall,Content Marketing,YouTube,2026-02-22,2026-09-06,32785,Local Footfall
CMP00048,CL0161,Email Marketing - Sales / Conversions,Email Marketing,Email,20/06/2026,2026-09-06,19751,Sales / Conversions
CMP00049,CL0203,Social Media Marketing - App Installs,social media marketing,LinkedIn Ads,2025-06-05,2026-04-14,33219,App Installs
CMP00050,CL0087,SEO - Local Footfall,SEO,Organic Search (Google),2025-05-08,2026/09/06,39678,Local Footfall
CMP00051,CL0298,PPC - App Installs,PPC,Google Ads,2026/02/01,2026-09-06,112223,App Installs
CMP00052,CL0315,Email Marketing - Local Footfall,email marketing,Email,2025-06-15,2026-06-28,5885,Local Footfall
CMP00053,CL0314,SEO - Website Traffic,SEO,Organic Search (Google),2025-03-17,2026-09-06,43983,Website Traffic
CMP00054,CL0236,PPC - Brand Awareness,PPC,Google Ads,05.10.2024,2026-07-26,53766.0,Brand Awareness
CMP00055,CL0014,Local SEO / GMB - Local Footfall,Local SEO / GMB,Organic Search (Google),2025-10-12,2026-09-06,16741,Local Footfall
CMP00056,CL0118,Local SEO / GMB - Website Traffic,Local SEO / GMB,,2025-05-17,2026-06-15,22256,Website Traffic
CMP00057,CL0143,PPC - Brand Awareness,PPC,Google Ads,2024-10-14,2026-03-20,20572,-
CMP00058,CL0308,Social Media Marketing - Brand Awareness,Social Media Mktg,YouTube Ads,2025-11-25,2026-09-02,16427,Brand Awareness
CMP00059,CL0176,PPC - Brand Awareness,PPC,Bing Ads,2024-09-20,2026-06-15,78055,Brand Awareness
CMP00060,CL0172,Content Marketing - Local Footfall,Content Marketing,YouTube,2024-10-22,11/01/2026,47990,Local Footfall
CMP00061,CL0047,SEO - Lead Generation,SEO,Organic Search (Google),04/17/2025,2026-04-18,15272,Lead Generation
CMP00062,CL0254,SEO - App Installs,SEO,Organic Search (Google),22.03.2025,2026-04-13,50495,App Installs
CMP00063,CL0108,Social Media Marketing - Website Traffic,Social Media Marketing,LinkedIn Ads,2024-09-06,2026-09-04,21374,unknown
CMP00064,CL0030,PPC - Lead Generation,PPC,Bing Ads,2025-09-08,2026-08-15,83561,Lead Generation
CMP00065,CL0317,Social Media Marketing - Website Traffic,Social Media Marketing,Instagram,2026-01-27,2026-09-06,51601.0,Website Traffic
CMP00066,CL0061,PPC - App Installs,ppc,Google Ads,2026-04-12,2026-09-06,Rs. 80851,App Installs
CMP00067,CL0006,Email Marketing - App Installs,Email Marketing,Email,2025-04-11,2026/07/09,6638,App Installs
CMP00068,CL0025,Content Marketing - Website Traffic,Content Marketing,,2026-06-11,2026-09-06,40141,Website Traffic
CMP00069,CL0145,Social Media Marketing - Sales / Conversions,Social Media Marketing,Meta Ads,2026-02-12,06/09/2026,38431,-
CMP00070,CL0033,Content Marketing - Lead Generation,content marketing,LinkedIn,2026-03-14,2026-09-06,40842,Lead Generation
CMP00071,CL0270,PPC - Lead Generation,PPC,Google Ads,2025-06-26,2026-07-01,105213,Lead Generation
CMP00072,CL0164,Social Media Marketing - Sales / Conversions,Social Media Marketing,Instagram,05/22/2025,2026-09-01,61859,Sales / Conversions
CMP00073,CL0104,SEO - Website Traffic,Seo ,Organic Search (Google),26/01/2025,2025-11-14,"₹28,887",Website Traffic
CMP00074,CL0002,Email Marketing - Lead Generation,Email Marketing,Email,2025-01-20,2026-09-06,18045,Lead Generation
CMP00075,CL0154,Content Marketing - Local Footfall,Content Marketing,LinkedIn,2024-09-17,2026-07-29,49905,Local Footfall
CMP00076,CL0049,Email Marketing - Website Traffic,Email Marketing,Email,2026-07-08,2026-09-06,,Website Traffic
CMP00077,CL0313,Email Marketing - Brand Awareness,email marketing,Email,02/14/2025,2026-01-23,23326.0,Brand Awareness
CMP00078,CL0094,Local SEO / GMB - Local Footfall,Local SEO / GMB,,2025-01-24,2026-03-01,12833,Local Footfall
CMP00079,CL0152,PPC - Brand Awareness,PPC,Bing Ads,2024-10-10,2026-08-25,96090,Brand Awareness
CMP00080,CL0006,Local SEO / GMB - Local Footfall,Local SEO / GMB,Google My Business,2025-01-24,2026-09-06,"₹16,751",Local Footfall
CMP00081,CL0042,Social Media Marketing - Brand Awareness,Social Media Marketing,Instagram,2025-11-22,06.09.2026,97190,Brand Awareness
CMP00082,CL0067,PPC - Sales / Conversions,PPC,Bing Ads,2026-07-08,06/09/2026,143511,Sales / Conversions
CMP00083,CL0017,Social Media Marketing - Sales / Conversions,Social Media Marketing,Instagram,2025-11-21,2026-09-06,88781,Sales / Conversions
CMP00084,CL0233,PPC - Local Footfall,PPC,,2025-03-21,06.09.2026,41155,Local Footfall
CMP00085,CL0303,PPC - Brand Awareness,Pay Per Click,Bing Ads,2025-01-01,2026-08-09,61456,Brand Awareness
CMP00086,CL0316,PPC - Local Footfall,PPC,Google Ads,2024-12-23,2026-06-15,112465,Local Footfall
CMP00087,CL0086,SEO - Sales / Conversions,SEO,Organic Search (Google),2026-01-11,2026-09-06,48731,Sales / Conversions
CMP00088,CL0253,Social Media Marketing - Brand Awareness,Social Media Marketing,,2026-02-22,2026-09-06,44774,NA
CMP00089,CL0162,Email Marketing - Website Traffic,Email Marketing,Email,2026/03/27,2026-09-06,7736.0,Website Traffic
CMP00090,CL0015,Social Media Marketing - App Installs,Social Media Mktg,Instagram,2024-10-18,2026-02-25,26637,App Installs
CMP00091,CL0030,Social Media Marketing - Sales / Conversions,Social Media Marketing,LinkedIn Ads,2025-05-19,2026-07-13,73186.0,Sales / Conversions
CMP00092,CL0176,PPC - Lead Generation,PPC,Bing Ads,2024-10-12,23/04/2026,79042,Lead Generation
CMP00093,CL0136,Social Media Marketing - Sales / Conversions,Social Media Marketing,YouTube Ads,2025-03-29,2026-08-23,56741,Sales / Conversions
CMP00094,CL0003,SEO - Website Traffic,SEO,Organic Search (Google),2025-04-04,2026-02-07,51691,Website Traffic
CMP00095,CL0298,Content Marketing - Lead Generation,Content Marketing,,2026-02-01,2026-09-06,10673,?
CMP00096,CL0234,SEO - Lead Generation,Seo ,Organic Search (Google),2025-04-15,2026-09-06,48953,Lead Generation
CMP00097,CL0161,Social Media Marketing - Local Footfall,Social Media Marketing,,2026-06-20,2026-09-06,38309,Local Footfall
CMP00098,CL0316,Content Marketing - Lead Generation,Content Marketing,LinkedIn,2024-11-23,2026-08-29,47248,Lead Generation
CMP00099,CL0311,Social Media Marketing - Sales / Conversions,Social Media Marketing,LinkedIn Ads,2025-11-20,2026-09-06,96207,Sales / Conversions
CMP00100,CL0312,Email Marketing - App Installs,Email Marketing,Email,2024-09-18,2025-11-24,15042.0,?
CMP00101,CL0083,PPC - Brand Awareness,PPC,Google Ads,2026-07-08,2026-09-06,61058,Brand Awareness
CMP00102,CL0282,Email Marketing - Sales / Conversions,Email Marketing,Email,2024-11-13,06/09/2026,9663,Sales / Conversions
CMP00103,CL0162,Content Marketing - Lead Generation,Content Marketing,Organic Search (Google),27.03.2026,2026-09-06,,Lead Generation
CMP00104,CL0233,Content Marketing - App Installs,Content Marketing,Organic Search (Google),2025-04-17,2026-08-28,49968,App Installs
CMP00105,CL0276,Social Media Marketing - Website Traffic,Social Media Marketing,Meta Ads,2025-07-18,2026-09-06,30940,Website Traffic
CMP00106,CL0053,Email Marketing - Local Footfall,Email Marketing,Email,06/12/2025,2026-04-23,13931,Local Footfall
CMP00107,CL0144,Local SEO / GMB - Local Footfall,Local SEO / GMB,Organic Search (Google),2025-05-30,2026-09-06,18542,Local Footfall
CMP00108,CL0042,PPC - Sales / Conversions,PPC,Bing Ads,2025-11-22,06/09/2026,"₹108,293",Sales / Conversions
CMP00109,CL0090,Content Marketing - Lead Generation,Content Marketing,YouTube,2026-04-08,2026-09-06,43705,Lead Generation
CMP00110,CL0133,Content Marketing - Sales / Conversions,Content Marketing,YouTube,2024-11-04,2026-03-20,32319,Sales / Conversions
CMP00111,CL9999,PPC - Lead Generation,PPC,Bing Ads,2025-12-14,2026-09-06,118540,Lead Generation
CMP00112,CL0277,Local SEO / GMB - Website Traffic,Local SEO / GMB,Google My Business,2025-01-08,2026-01-09,20467,Website Traffic
CMP00113,CL0125,PPC - Lead Generation,Pay Per Click,Google Ads,2025-01-20,2026-02-01,76790,-
CMP00114,CL0106,Social Media Marketing - Local Footfall,Social Media Marketing,LinkedIn Ads,2026-03-14,2026-09-06,28408,Local Footfall
CMP00115,CL0170,SEO - Website Traffic,SEO,,2025-10-30,2026-08-15,24392,Website Traffic
CMP00116,CL0292,PPC - Brand Awareness,PPC,Google Ads,2025-05-19,24-Aug-2026,76214,Brand Awareness
CMP00117,CL0313,Email Marketing - Local Footfall,Email Marketing,Email,27-May-2025,2026-04-29,5921,Local Footfall
CMP00118,CL0073,PPC - App Installs,PPC,,2025-04-10,2026-03-12,61127,App Installs
CMP00119,CL0060,PPC - Sales / Conversions,PPC,Bing Ads,2025-10-24,2026-09-06,80141,Sales / Conversions
CMP00120,CL0227,PPC - Lead Generation,PPC,Bing Ads,2026-03-03,2026-09-06,81442,Lead Generation
CMP00121,CL0097,Social Media Marketing - Sales / Conversions,Social Media Marketing,Meta Ads,2025-01-22,2026-08-09,84255,Sales / Conversions
CMP00122,CL0064,Content Marketing - Website Traffic,Content Marketing,Organic Search (Google),2025-07-26,2026-09-01,48706,N/A
CMP00123,CL0010,Email Marketing - App Installs,Email Marketing,Email,2025-04-11,2026-03-15,Rs. 19593,App Installs
CMP00124,CL0130,SEO - Brand Awareness,SEO,Organic Search (Google),2026-06-08,2026-09-06,18579,Brand Awareness
CMP00125,CL0126,Social Media Marketing - App Installs,Social Media Marketing,Instagram,2025-07-18,2026-09-06,49731.0,App Installs
CMP00126,CL0181,Social Media Marketing - Brand Awareness,Social Media Marketing,YouTube Ads,06/09/2026,2025-12-05,77042,Brand Awareness
CMP00127,CL0065,Social Media Marketing - Brand Awareness,Social Media Marketing,LinkedIn Ads,2026-03-10,2026-09-06,65549,Brand Awareness
CMP00128,CL0229,PPC - Sales / Conversions,PPC,Bing Ads,2025-10-01,2026-09-06,79511,Sales / Conversions
CMP00129,CL0218,PPC - Lead Generation,PPC,Bing Ads,2024-10-23,2026-07-19,76712,Lead Generation
CMP00130,CL0148,Social Media Marketing - Sales / Conversions,Social Media Marketing,Instagram,04/10/2025,2026-09-06,49506.0,Sales / Conversions
CMP00131,CL0059,Social Media Marketing - Sales / Conversions,Social Media Marketing,LinkedIn Ads,2024-12-02,2026-07-31,Rs. 64216,Sales / Conversions
CMP00132,CL0163,Social Media Marketing - Brand Awareness,Social Media Marketing,Meta Ads,02/05/2025,2026-09-06,30196,Brand Awareness
CMP00133,CL0216,Social Media Marketing - App Installs,Social Media Marketing,Meta Ads,2025-09-13,06.08.2026,58987.0,App Installs
CMP00134,CL0120,Content Marketing - Brand Awareness,Content Marketing,LinkedIn,2025-10-15,2026-09-06,18234,Brand Awareness
CMP00135,CL0085,Content Marketing - App Installs,Content Marketing,YouTube,11/20/2025,2026-09-06,"37,238",App Installs
CMP00136,CL0163,PPC - App Installs,PPC ,Google Ads,2025-03-13,2026-01-14,,App Installs
CMP00137,CL0114,Content Marketing - Website Traffic,Content Marketing,YouTube,2024-12-05,2026-08-26,30308,Website Traffic
CMP00138,CL0129,Email Marketing - Brand Awareness,Email Marketing,Email,2025-05-19,2026-06-08,12751,Brand Awareness
CMP00139,CL0112,SEO - App Installs,SEO,Organic Search (Google),2026-04-06,2026-09-06,57327,App Installs
CMP00140,CL0098,Social Media Marketing - Brand Awareness,social media marketing,Meta Ads,06/12/2025,06.09.2026,"₹71,073",Brand Awareness
CMP00141,CL0230,PPC - Brand Awareness,PPC,,2025-12-27,2026-09-06,Rs. 75643,Brand Awareness
CMP00142,CL0148,Content Marketing - Local Footfall,Content Marketing,LinkedIn,2025-10-04,06/09/2026,11151.0,Local Footfall
CMP00143,CL0150,PPC - Sales / Conversions,PPC,Google Ads,2025-09-29,2026-09-01,22069,Sales / Conversions
CMP00144,CL0209,Social Media Marketing - App Installs,Social Media Marketing,Instagram,2025-08-13,2026-09-06,33826,App Installs
CMP00145,CL0116,PPC - Lead Generation,PPC,Google Ads,2026-02-28,2026-09-06,50728,NA
CMP00146,CL0033,Social Media Marketing - Website Traffic,SMM,Instagram,2026-03-14,2026-09-06,76318,Website Traffic
CMP00147,CL0273,Local SEO / GMB - Local Footfall,Local SEO / GMB,Google My Business,2026-05-06,2026-09-06,19013,Local Footfall
CMP00148,CL0018,PPC - App Installs,PPC,Google Ads,2025-07-02,2026-09-06,149994,App Installs
CMP00149,CL0184,Email Marketing - Website Traffic,Email Marketing,Email,2025-11-29,2026-09-06,"₹15,811",Website Traffic
CMP00150,CL0086,Local SEO / GMB - Local Footfall,Local SEO / GMB,Google My Business,2026-01-11,2026-09-06,27868,Local Footfall
CMP00151,CL0069,Email Marketing - Brand Awareness,Email Marketing,Email,2026-03-21,2026-09-06,16047,Brand Awareness
CMP00152,CL0014,SEO - Sales / Conversions,SEO,,2025-12-05,2026-08-25,31118,Sales / Conversions
CMP00153,CL0289,Content Marketing - Lead Generation,Content Marketing,LinkedIn,2026-04-25,2026-09-06,38582,Lead Generation
CMP00154,CL0138,SEO - App Installs,SEO,Organic Search (Google),2025-03-18,2026-06-21,35224,App Installs
CMP00155,CL0110,PPC - App Installs,PPC,Bing Ads,2025-03-22,24-Jun-2026,55704,App Installs
CMP00156,CL0238,Email Marketing - App Installs,Email Mktg,Email,2026-01-17,2026-09-06,14464,App Installs
CMP00157,CL0013,Social Media Marketing - App Installs,Social Media Marketing,Instagram,2026-07-01,06-Sep-2026,71516,App Installs
CMP00158,CL0181,Social Media Marketing - Lead Generation,Social Media Marketing,YouTube Ads,2025-12-05,2026-09-06,46922,-
CMP00159,CL0159,PPC - Website Traffic,PPC,Google Ads,09/04/2025,19-Jul-2026,111524,Website Traffic
CMP00160,CL0178,Content Marketing - App Installs,Content Marketing,LinkedIn,2026-02-19,2026-09-06,49228,App Installs
CMP00161,CL0040,Social Media Marketing - Brand Awareness,Social Media Marketing,Instagram,2026-04-15,2026/09/06,49958,Brand Awareness
CMP00162,CL0305,Social Media Marketing - Sales / Conversions,Social Media Marketing,LinkedIn Ads,2025-02-20,2026-03-08,40094,Sales / Conversions
CMP00163,CL0077,Email Marketing - Local Footfall,Email Marketing,Email,2025-07-03,2026-09-06,13043,Local Footfall
CMP00164,CL0218,PPC - Sales / Conversions,PPC,Google Ads,17-Jan-2025,14-Nov-2025,"128,974",unknown
CMP00165,CL0240,SEO - App Installs,SEO,Organic Search (Google),2025-03-02,2026-06-20,23051,App Installs
CMP00166,CL0111,Social Media Marketing - Website Traffic,Social Media Marketing,YouTube Ads,2024-10-29,2026-09-02,,Website Traffic
CMP00167,CL0042,Local SEO / GMB - Website Traffic,Local SEO/GMB,Google My Business,2025-11-22,2026-09-06,17107,Website Traffic
CMP00168,CL0095,PPC - Website Traffic,PPC,Bing Ads,2025/02/18,2026-07-12,,unknown
CMP00169,CL0259,PPC - Website Traffic,PPC,Google Ads,06/09/2026,2025-04-18,122286,?
CMP00170,CL0291,SEO - App Installs,SEO,,2026-01-08,06/09/2026,,App Installs
CMP00171,CL0300,Email Marketing - Local Footfall,Email Marketing,Email,2026-02-13,2026-09-06,23179,Local Footfall
CMP00172,CL0073,PPC - Brand Awareness,PPC,Bing Ads,04/10/2024,2026-04-30,44030,Brand Awareness
CMP00173,CL0195,Social Media Marketing - Local Footfall,Social Media Marketing,Meta Ads,2025-05-31,2026-09-06,,Local Footfall
CMP00174,CL0000,Local SEO / GMB - Website Traffic,Local SEO / GMB,Organic Search (Google),2026-07-08,2026-09-06,10178,Website Traffic
CMP00175,CL0228,SEO - Website Traffic,SEO,Organic Search (Google),2025-12-03,09/06/2026,Rs. 28471,Website Traffic
CMP00176,CL0134,Social Media Marketing - Brand Awareness,Social Media Marketing,Instagram,2024-11-10,2026-07-20,18449,Brand Awareness
CMP00177,CL0229,Social Media Marketing - Sales / Conversions,Social Media Marketing,LinkedIn Ads,2025/10/01,2026-09-06,72994,Sales / Conversions
CMP00178,CL0220,Content Marketing - Website Traffic,Content Mktg,LinkedIn,2025-05-21,2026-08-24,34309,Website Traffic
CMP00179,CL0318,PPC - Sales / Conversions,PPC,Bing Ads,20.08.2025,2026-07-08,116219,Sales / Conversions
CMP00180,CL0157,PPC - Brand Awareness,PPC,Google Ads,01/20/2025,2026-01-01,42909,Brand Awareness
CMP00181,CL0110,SEO - App Installs,SEO,Organic Search (Google),2025-05-27,2026-05-15,29949,App Installs
CMP00182,CL0169,Content Marketing - Sales / Conversions,Content Marketing,Organic Search (Google),2025-05-18,2026-04-04,"₹37,053",Sales / Conversions
CMP00183,CL0053,Content Marketing - Website Traffic,Content Marketing,,2025-04-14,2026-05-29,43061,Website Traffic
CMP00184,CL0036,SEO - Lead Generation,SEO,Organic Search (Google),2025-12-05,06/09/2026,54855,Lead Generation
CMP00185,CL0167,PPC - Lead Generation,PPC,Bing Ads,2025-06-28,2026-09-06,29580,Lead Generation
CMP00186,CL0265,Email Marketing - Local Footfall,Email Marketing,Email,2024-11-24,2026-02-28,13050,Local Footfall
CMP00187,CL0171,SEO - Lead Generation,SEO,Organic Search (Google),2025-02-18,05.08.2026,15483,Lead Generation
CMP00188,CL0251,PPC - App Installs,PPC,Bing Ads,2025-04-30,2026-08-04,126407,App Installs
CMP00189,CL0057,Social Media Marketing - Local Footfall,Social Media Marketing,Instagram,2026-07-06,2026-09-06,25452,Local Footfall
CMP00190,CL0144,PPC - Sales / Conversions,PPC,Bing Ads,2025-06-20,2026-07-22,126879,Sales / Conversions
CMP00191,CL0197,PPC - Local Footfall,PPC,Google Ads,2025-03-29,2026-09-06,40281,Local Footfall
CMP00192,CL0112,Social Media Marketing - Sales / Conversions,Social Media Marketing,LinkedIn Ads,2026-04-06,2026-09-06,16306,Sales / Conversions
CMP00193,CL0005,SEO - Local Footfall,SEO,,2025-11-07,29/08/2026,54551.0,Local Footfall
CMP00194,CL0024,Social Media Marketing - Brand Awareness,Social Media Marketing,Instagram,2024-12-10,2026-07-25,52299,Brand Awareness
CMP00195,CL0297,Social Media Marketing - Sales / Conversions,Social Media Marketing,Meta Ads,2025-01-18,2026-09-06,51123,Sales / Conversions
CMP00196,CL0194,Social Media Marketing - Sales / Conversions,Social Media Marketing,Instagram,2025-03-06,2026-08-21,69972,Sales / Conversions
CMP00197,CL0085,SEO - App Installs,SEO,Organic Search (Google),2025-11-20,2026-09-06,27371,App Installs
CMP00198,CL0083,Email Marketing - Lead Generation,Email Mktg,Email,2026-07-08,2026-09-06,18815,Lead Generation
CMP00199,CL0013,SEO - App Installs,SEO,Organic Search (Google),2026-07-01,2026-09-06,34308,App Installs
CMP00200,CL0303,Content Marketing - Lead Generation,Content Marketing,YouTube,2025-04-18,2026-05-27,20906,Lead Generation
CMP00201,CL0035,PPC - Brand Awareness,ppc,Google Ads,2024-11-18,2026-08-28,71329,Brand Awareness
CMP00202,CL0244,Content Marketing - Website Traffic,content marketing,Organic Search (Google),2026-01-23,2026-09-06,10245,Website Traffic
CMP00203,CL0077,SEO - Lead Generation,Seo ,Organic Search (Google),2025-07-03,2026-09-06,"₹28,565",Lead Generation
CMP00204,CL0108,SEO - Sales / Conversions,SEO,Organic Search (Google),2024-11-26,2026-03-31,41615,Sales / Conversions
CMP00205,CL0088,Social Media Marketing - Local Footfall,Social Media Marketing,Instagram,15-Apr-2025,2026-09-06,"₹26,721",Local Footfall
CMP00206,CL0264,SEO - App Installs,SEO,Organic Search (Google),2025-03-05,04/12/2026,"₹20,334",App Installs
CMP00207,CL0011,PPC - Lead Generation,PPC,,2026-07-08,2026-09-06,105269,Lead Generation
CMP00208,CL0113,Content Marketing - Website Traffic,Content Marketing,LinkedIn,2024-11-15,2026-05-02,27129,?
CMP00209,CL0090,Content Marketing - Website Traffic,Content Marketing,,2026-04-08,2026-09-06,15464.0,Website Traffic
CMP00210,CL0088,SEO - Lead Generation,SEO,Organic Search (Google),2025-04-15,2026-09-06,48652,Lead Generation
CMP00211,CL0062,Email Marketing - Website Traffic,Email Marketing,Email,2025-02-24,2026-04-02,20508,Website Traffic
CMP00212,CL0292,Content Marketing - Website Traffic,Content Marketing,Organic Search (Google),2025-02-27,2026-06-24,11390,Website Traffic
CMP00213,CL0122,Email Marketing - App Installs,email marketing,Email,2026-04-15,2026-09-06,Rs. 9033,App Installs
CMP00214,CL0134,Social Media Marketing - Brand Awareness,Social Media Marketing,LinkedIn Ads,2025-02-27,2026-07-25,46479,Brand Awareness
CMP00215,CL0124,Social Media Marketing - Brand Awareness,Social Media Marketing,YouTube Ads,2025-02-25,2026-08-15,77166,Brand Awareness
CMP00216,CL0314,Social Media Marketing - App Installs,Social Media Marketing,Instagram,2025-04-22,2026-07-10,21292,App Installs
CMP00217,CL0109,Social Media Marketing - App Installs,Social Media Marketing,,2025-06-10,2026-09-06,83474,App Installs
CMP00218,CL0110,Email Marketing - Lead Generation,Email Marketing,Email,2024-12-25,2026-06-22,11388,Lead Generation
CMP00219,CL0105,SEO - Brand Awareness,Seo ,Organic Search (Google),2026-06-07,2026-09-06,20639,Brand Awareness
CMP00220,CL0105,PPC - Website Traffic,PPC,Bing Ads,2026-06-07,2026-09-06,132238,Website Traffic
CMP00221,CL0029,SEO - App Installs,SEO,Organic Search (Google),2024-10-21,2026-07-20,18903,App Installs
CMP00222,CL0194,Local SEO / GMB - Brand Awareness,GMB,,2025-02-22,2026-07-26,10850,Brand Awareness
CMP00223,CL0009,PPC - Brand Awareness,PPC,Google Ads,2025-06-23,2026-09-06,143444,Brand Awareness
CMP00224,CL0073,Social Media Marketing - App Installs,Social Media Marketing,Meta Ads,2024-10-04,2026-08-22,59163,App Installs
CMP00225,CL0065,Email Marketing - App Installs,Email Marketing,Email,10-Mar-2026,2026-09-06,14260,App Installs
CMP00226,CL0094,Local SEO / GMB - Local Footfall,Local SEO / GMB,Google My Business,2024-11-11,2026-07-29,23121,Local Footfall
