campaign_id,client_id,campaign_name,campaign_type,platform,start_date,end_date,budget_inr,objective
CMP00029,CL0111,Content Marketing - Sales / Conversions,Contentmarketing,LinkedIn,2024-12-04,2025-11-20,12608.0,Sales / Conversions
CMP00030,CL0274,Content Marketing - Local Footfall,Contentmarketing,LinkedIn,2025-12-18,2026-08-29,32319.0,Local Footfall
CMP00031,CL0135,Social Media Marketing - Brand Awareness,Socialmediamarketing,Meta Ads,2025-07-27,2026-07-16,94229.0,Brand Awareness
CMP00032,CL0237,Social Media Marketing - App Installs,Socialmediamarketing,LinkedIn Ads,2026-04-02,2026-09-06,42401.0,App Installs
CMP00033,CL0033,Social Media Marketing - Lead Generation,Socialmediamarketing,Meta Ads,2026-03-14,2026-09-06,57641.0,Lead Generation
CMP00034,CL0032,Email Marketing - Brand Awareness,Emailmarketing,Email,2025-03-19,2026-01-27,22251.0,Brand Awareness
CMP00035,CL0251,SEO - App Installs,Seo,Organic Search (Google),2025-11-28,2026-09-04,37669.0,App Installs
CMP00036,CL0267,Local SEO / GMB - Website Traffic,Localseo/Gmb,Google My Business,2025-05-18,2026-09-06,18586.0,Website Traffic
CMP00037,CL0302,SEO - Website Traffic,Seo,Organic Search (Google),2025-02-15,2026-09-06,56488.0,Website Traffic
CMP00038,CL0104,Content Marketing - Local Footfall,Contentmarketing,Organic Search (Google),2024-09-11,2026-09-02,43152.0,Local Footfall
CMP00039,CL0008,SEO - Brand Awareness,Seo,Organic Search (Google),2025-03-25,2026-06-21,37829.0,Brand Awareness
CMP00040,CL0314,SEO - Website Traffic,Seo,Unknown,2025-10-13,2026-07-28,22267.0,Website Traffic
CMP00041,CL0193,SEO - Website Traffic,Seo,Organic Search (Google),2025-06-10,2026-07-20,34728.0,Website Traffic
CMP00042,CL0080,PPC - App Installs,Payperclick,Unknown,2026-07-07,2026-09-06,107938.0,App Installs
CMP00043,CL0245,PPC - Brand Awareness,Payperclick,Google Ads,2025-10-22,2026-09-06,55423.0,Brand Awareness
CMP00044,CL0290,SEO - Website Traffic,Seo,Organic Search (Google),2025-12-20,2026-09-02,39177.0,Website Traffic
CMP00045,CL0092,PPC - Sales / Conversions,Payperclick,Google Ads,2025-09-20,2026-07-12,105646.0,Sales / Conversions
CMP00046,CL0247,PPC - Website Traffic,Payperclick,Google Ads,2026-07-03,2026-09-06,31052.0,Website Traffic
CMP00047,CL0253,Content Marketing - Local Footfall,Contentmarketing,YouTube,2026-02-22,2026-09-06,32785.0,Local Footfall
CMP00048,CL0161,Email Marketing - Sales / Conversions,Emailmarketing,Email,2026-06-20,2026-09-06,19751.0,Sales / Conversions
CMP00049,CL0203,Social Media Marketing - App Installs,Socialmediamarketing,LinkedIn Ads,2025-06-05,2026-04-14,33219.0,App Installs
CMP00050,CL0087,SEO - Local Footfall,Seo,Organic Search (Google),2025-05-08,2026-09-06,39678.0,Local Footfall
CMP00051,CL0298,PPC - App Installs,Payperclick,Google Ads,2026-02-01,2026-09-06,112223.0,App Installs
CMP00052,CL0315,Email Marketing - Local Footfall,Emailmarketing,Email,2025-06-15,2026-06-28,5885.0,Local Footfall
CMP00053,CL0314,SEO - Website Traffic,Seo,Organic Search (Google),2025-03-17,2026-09-06,43983.0,Website Traffic
CMP00054,CL0236,PPC - Brand Awareness,Payperclick,Google Ads,2024-10-05,2026-07-26,53766.0,Brand Awareness
CMP00055,CL0014,Local SEO / GMB - Local Footfall,Localseo/Gmb,Organic Search (Google),2025-10-12,2026-09-06,16741.0,Local Footfall
CMP00056,CL0118,Local SEO / GMB - Website Traffic,Localseo/Gmb,Unknown,2025-05-17,2026-06-15,22256.0,Website Traffic
CMP00057,CL0143,PPC - Brand Awareness,Payperclick,Google Ads,2024-10-14,2026-03-20,20572.0,Brand Awareness
CMP00058,CL0308,Social Media Marketing - Brand Awareness,Socialmediamarketing,YouTube Ads,2025-11-25,2026-09-02,16427.0,Brand Awareness
CMP00059,CL0176,PPC - Brand Awareness,Payperclick,Bing Ads,2024-09-20,2026-06-15,78055.0,Brand Awareness
CMP00060,CL0172,Content Marketing - Local Footfall,Contentmarketing,YouTube,2024-10-22,2026-01-11,47990.0,Local Footfall
CMP00061,CL0047,SEO - Lead Generation,Seo,Organic Search (Google),2025-04-17,2026-04-18,15272.0,Lead Generation
CMP00062,CL0254,SEO - App Installs,Seo,Organic Search (Google),2025-03-22,2026-04-13,50495.0,App Installs
CMP00063,CL0108,Social Media Marketing - Website Traffic,Socialmediamarketing,LinkedIn Ads,2024-09-06,2026-09-04,21374.0,Website Traffic
CMP00064,CL0030,PPC - Lead Generation,Payperclick,Bing Ads,2025-09-08,2026-08-15,83561.0,Lead Generation
CMP00065,CL0317,Social Media Marketing - Website Traffic,Socialmediamarketing,Instagram,2026-01-27,2026-09-06,51601.0,Website Traffic
CMP00066,CL0061,PPC - App Installs,Payperclick,Google Ads,2026-04-12,2026-09-06,80851.0,App Installs
CMP00067,CL0006,Email Marketing - App Installs,Emailmarketing,Email,2025-04-11,2026-07-09,6638.0,App Installs
CMP00068,CL0025,Content Marketing - Website Traffic,Contentmarketing,Unknown,2026-06-11,2026-09-06,40141.0,Website Traffic
CMP00069,CL0145,Social Media Marketing - Sales / Conversions,Socialmediamarketing,Meta Ads,2026-02-12,2026-09-06,38431.0,Sales / Conversions
CMP00070,CL0033,Content Marketing - Lead Generation,Contentmarketing,LinkedIn,2026-03-14,2026-09-06,40842.0,Lead Generation
CMP00071,CL0270,PPC - Lead Generation,Payperclick,Google Ads,2025-06-26,2026-07-01,105213.0,Lead Generation
CMP00072,CL0164,Social Media Marketing - Sales / Conversions,Socialmediamarketing,Instagram,2025-05-22,2026-09-01,61859.0,Sales / Conversions
CMP00073,CL0104,SEO - Website Traffic,Seo,Organic Search (Google),2025-01-26,2025-11-14,28887.0,Website Traffic
CMP00074,CL0002,Email Marketing - Lead Generation,Emailmarketing,Email,2025-01-20,2026-09-06,18045.0,Lead Generation
CMP00075,CL0154,Content Marketing - Local Footfall,Contentmarketing,LinkedIn,2024-09-17,2026-07-29,49905.0,Local Footfall
CMP00076,CL0049,Email Marketing - Website Traffic,Emailmarketing,Email,2026-07-08,2026-09-06,14341.0,Website Traffic
CMP00077,CL0313,Email Marketing - Brand Awareness,Emailmarketing,Email,2025-02-14,2026-01-23,23326.0,Brand Awareness
CMP00078,CL0094,Local SEO / GMB - Local Footfall,Localseo/Gmb,Unknown,2025-01-24,2026-03-01,12833.0,Local Footfall
CMP00079,CL0152,PPC - Brand Awareness,Payperclick,Bing Ads,2024-10-10,2026-08-25,96090.0,Brand Awareness
CMP00080,CL0006,Local SEO / GMB - Local Footfall,Localseo/Gmb,Google My Business,2025-01-24,2026-09-06,16751.0,Local Footfall
CMP00081,CL0042,Social Media Marketing - Brand Awareness,Socialmediamarketing,Instagram,2025-11-22,2026-09-06,97190.0,Brand Awareness
CMP00082,CL0067,PPC - Sales / Conversions,Payperclick,Bing Ads,2026-07-08,2026-09-06,143511.0,Sales / Conversions
CMP00083,CL0017,Social Media Marketing - Sales / Conversions,Socialmediamarketing,Instagram,2025-11-21,2026-09-06,88781.0,Sales / Conversions
CMP00084,CL0233,PPC - Local Footfall,Payperclick,Unknown,2025-03-21,2026-09-06,41155.0,Local Footfall
CMP00085,CL0303,PPC - Brand Awareness,Payperclick,Bing Ads,2025-01-01,2026-08-09,61456.0,Brand Awareness
CMP00086,CL0316,PPC - Local Footfall,Payperclick,Google Ads,2024-12-23,2026-06-15,112465.0,Local Footfall
CMP00087,CL0086,SEO - Sales / Conversions,Seo,Organic Search (Google),2026-01-11,2026-09-06,48731.0,Sales / Conversions
CMP00088,CL0253,Social Media Marketing - Brand Awareness,Socialmediamarketing,Unknown,2026-02-22,2026-09-06,44774.0,Brand Awareness
CMP00089,CL0162,Email Marketing - Website Traffic,Emailmarketing,Email,2026-03-27,2026-09-06,7736.0,Website Traffic
CMP00090,CL0015,Social Media Marketing - App Installs,Socialmediamarketing,Instagram,2024-10-18,2026-02-25,26637.0,App Installs
CMP00091,CL0030,Social Media Marketing - Sales / Conversions,Socialmediamarketing,LinkedIn Ads,2025-05-19,2026-07-13,73186.0,Sales / Conversions
CMP00092,CL0176,PPC - Lead Generation,Payperclick,Bing Ads,2024-10-12,2026-04-23,79042.0,Lead Generation
CMP00093,CL0136,Social Media Marketing - Sales / Conversions,Socialmediamarketing,YouTube Ads,2025-03-29,2026-08-23,56741.0,Sales / Conversions
CMP00094,CL0003,SEO - Website Traffic,Seo,Organic Search (Google),2025-04-04,2026-02-07,51691.0,Website Traffic
CMP00095,CL0298,Content Marketing - Lead Generation,Contentmarketing,Unknown,2026-02-01,2026-09-06,10673.0,Lead Generation
CMP00096,CL0234,SEO - Lead Generation,Seo,Organic Search (Google),2025-04-15,2026-09-06,48953.0,Lead Generation
CMP00097,CL0161,Social Media Marketing - Local Footfall,Socialmediamarketing,Unknown,2026-06-20,2026-09-06,38309.0,Local Footfall
CMP00098,CL0316,Content Marketing - Lead Generation,Contentmarketing,LinkedIn,2024-11-23,2026-08-29,47248.0,Lead Generation
CMP00099,CL0311,Social Media Marketing - Sales / Conversions,Socialmediamarketing,LinkedIn Ads,2025-11-20,2026-09-06,96207.0,Sales / Conversions
CMP00100,CL0312,Email Marketing - App Installs,Emailmarketing,Email,2024-09-18,2025-11-24,15042.0,App Installs
CMP00101,CL0083,PPC - Brand Awareness,Payperclick,Google Ads,2026-07-08,2026-09-06,61058.0,Brand Awareness
CMP00102,CL0282,Email Marketing - Sales / Conversions,Emailmarketing,Email,2024-11-13,2026-09-06,9663.0,Sales / Conversions
CMP00103,CL0162,Content Marketing - Lead Generation,Contentmarketing,Organic Search (Google),2026-03-27,2026-09-06,32319.0,Lead Generation
CMP00104,CL0233,Content Marketing - App Installs,Contentmarketing,Organic Search (Google),2025-04-17,2026-08-28,49968.0,App Installs
CMP00105,CL0276,Social Media Marketing - Website Traffic,Socialmediamarketing,Meta Ads,2025-07-18,2026-09-06,30940.0,Website Traffic
CMP00106,CL0053,Email Marketing - Local Footfall,Emailmarketing,Email,2025-12-06,2026-04-23,13931.0,Local Footfall
CMP00107,CL0144,Local SEO / GMB - Local Footfall,Localseo/Gmb,Organic Search (Google),2025-05-30,2026-09-06,18542.0,Local Footfall
CMP00108,CL0042,PPC - Sales / Conversions,Payperclick,Bing Ads,2025-11-22,2026-09-06,108293.0,Sales / Conversions
CMP00109,CL0090,Content Marketing - Lead Generation,Contentmarketing,YouTube,2026-04-08,2026-09-06,43705.0,Lead Generation
CMP00110,CL0133,Content Marketing - Sales / Conversions,Contentmarketing,YouTube,2024-11-04,2026-03-20,32319.0,Sales / Conversions
CMP00111,CL9999,PPC - Lead Generation,Payperclick,Bing Ads,2025-12-14,2026-09-06,118540.0,Lead Generation
CMP00112,CL0277,Local SEO / GMB - Website Traffic,Localseo/Gmb,Google My Business,2025-01-08,2026-01-09,20467.0,Website Traffic
CMP00113,CL0125,PPC - Lead Generation,Payperclick,Google Ads,2025-01-20,2026-02-01,76790.0,Lead Generation
CMP00114,CL0106,Social Media Marketing - Local Footfall,Socialmediamarketing,LinkedIn Ads,2026-03-14,2026-09-06,28408.0,Local Footfall
CMP00115,CL0170,SEO - Website Traffic,Seo,Unknown,2025-10-30,2026-08-15,24392.0,Website Traffic
CMP00116,CL0292,PPC - Brand Awareness,Payperclick,Google Ads,2025-05-19,2026-08-24,76214.0,Brand Awareness
CMP00117,CL0313,Email Marketing - Local Footfall,Emailmarketing,Email,2025-05-27,2026-04-29,5921.0,Local Footfall
CMP00118,CL0073,PPC - App Installs,Payperclick,Unknown,2025-04-10,2026-03-12,61127.0,App Installs
CMP00119,CL0060,PPC - Sales / Conversions,Payperclick,Bing Ads,2025-10-24,2026-09-06,80141.0,Sales / Conversions
CMP00120,CL0227,PPC - Lead Generation,Payperclick,Bing Ads,2026-03-03,2026-09-06,81442.0,Lead Generation
CMP00121,CL0097,Social Media Marketing - Sales / Conversions,Socialmediamarketing,Meta Ads,2025-01-22,2026-08-09,84255.0,Sales / Conversions
CMP00122,CL0064,Content Marketing - Website Traffic,Contentmarketing,Organic Search (Google),2025-07-26,2026-09-01,48706.0,Website Traffic
CMP00123,CL0010,Email Marketing - App Installs,Emailmarketing,Email,2025-04-11,2026-03-15,19593.0,App Installs
CMP00124,CL0130,SEO - Brand Awareness,Seo,Organic Search (Google),2026-06-08,2026-09-06,18579.0,Brand Awareness
CMP00125,CL0126,Social Media Marketing - App Installs,Socialmediamarketing,Instagram,2025-07-18,2026-09-06,49731.0,App Installs
CMP00126,CL0181,Social Media Marketing - Brand Awareness,Socialmediamarketing,YouTube Ads,2025-12-05,2026-09-06,77042.0,Brand Awareness
CMP00127,CL0065,Social Media Marketing - Brand Awareness,Socialmediamarketing,LinkedIn Ads,2026-03-10,2026-09-06,65549.0,Brand Awareness
CMP00128,CL0229,PPC - Sales / Conversions,Payperclick,Bing Ads,2025-10-01,2026-09-06,79511.0,Sales / Conversions
CMP00129,CL0218,PPC - Lead Generation,Payperclick,Bing Ads,2024-10-23,2026-07-19,76712.0,Lead Generation
CMP00130,CL0148,Social Media Marketing - Sales / Conversions,Socialmediamarketing,Instagram,2025-10-04,2026-09-06,49506.0,Sales / Conversions
CMP00131,CL0059,Social Media Marketing - Sales / Conversions,Socialmediamarketing,LinkedIn Ads,2024-12-02,2026-07-31,64216.0,Sales / Conversions
CMP00132,CL0163,Social Media Marketing - Brand Awareness,Socialmediamarketing,Meta Ads,2025-05-02,2026-09-06,30196.0,Brand Awareness
CMP00133,CL0216,Social Media Marketing - App Installs,Socialmediamarketing,Meta Ads,2025-09-13,2026-08-06,58987.0,App Installs
CMP00134,CL0120,Content Marketing - Brand Awareness,Contentmarketing,LinkedIn,2025-10-15,2026-09-06,18234.0,Brand Awareness
CMP00135,CL0085,Content Marketing - App Installs,Contentmarketing,YouTube,2025-11-20,2026-09-06,37238.0,App Installs
CMP00136,CL0163,PPC - App Installs,Payperclick,Google Ads,2025-03-13,2026-01-14,81442.0,App Installs
CMP00137,CL0114,Content Marketing - Website Traffic,Contentmarketing,YouTube,2024-12-05,2026-08-26,30308.0,Website Traffic
CMP00138,CL0129,Email Marketing - Brand Awareness,Emailmarketing,Email,2025-05-19,2026-06-08,12751.0,Brand Awareness
CMP00139,CL0112,SEO - App Installs,Seo,Organic Search (Google),2026-04-06,2026-09-06,57327.0,App Installs
CMP00140,CL0098,Social Media Marketing - Brand Awareness,Socialmediamarketing,Meta Ads,2025-12-06,2026-09-06,71073.0,Brand Awareness
CMP00141,CL0230,PPC - Brand Awareness,Payperclick,Unknown,2025-12-27,2026-09-06,75643.0,Brand Awareness
CMP00142,CL0148,Content Marketing - Local Footfall,Contentmarketing,LinkedIn,2025-10-04,2026-09-06,11151.0,Local Footfall
CMP00143,CL0150,PPC - Sales / Conversions,Payperclick,Google Ads,2025-09-29,2026-09-01,22069.0,Sales / Conversions
CMP00144,CL0209,Social Media Marketing - App Installs,Socialmediamarketing,Instagram,2025-08-13,2026-09-06,33826.0,App Installs
CMP00145,CL0116,PPC - Lead Generation,Payperclick,Google Ads,2026-02-28,2026-09-06,50728.0,Lead Generation
CMP00146,CL0033,Social Media Marketing - Website Traffic,Socialmediamarketing,Instagram,2026-03-14,2026-09-06,76318.0,Website Traffic
CMP00147,CL0273,Local SEO / GMB - Local Footfall,Localseo/Gmb,Google My Business,2026-05-06,2026-09-06,19013.0,Local Footfall
CMP00148,CL0018,PPC - App Installs,Payperclick,Google Ads,2025-07-02,2026-09-06,149994.0,App Installs
CMP00149,CL0184,Email Marketing - Website Traffic,Emailmarketing,Email,2025-11-29,2026-09-06,15811.0,Website Traffic
CMP00150,CL0086,Local SEO / GMB - Local Footfall,Localseo/Gmb,Google My Business,2026-01-11,2026-09-06,27868.0,Local Footfall
CMP00151,CL0069,Email Marketing - Brand Awareness,Emailmarketing,Email,2026-03-21,2026-09-06,16047.0,Brand Awareness
CMP00152,CL0014,SEO - Sales / Conversions,Seo,Unknown,2025-12-05,2026-08-25,31118.0,Sales / Conversions
CMP00153,CL0289,Content Marketing - Lead Generation,Contentmarketing,LinkedIn,2026-04-25,2026-09-06,38582.0,Lead Generation
CMP00154,CL0138,SEO - App Installs,Seo,Organic Search (Google),2025-03-18,2026-06-21,35224.0,App Installs
CMP00155,CL0110,PPC - App Installs,Payperclick,Bing Ads,2025-03-22,2026-06-24,55704.0,App Installs
CMP00156,CL0238,Email Marketing - App Installs,Emailmarketing,Email,2026-01-17,2026-09-06,14464.0,App Installs
CMP00157,CL0013,Social Media Marketing - App Installs,Socialmediamarketing,Instagram,2026-07-01,2026-09-06,71516.0,App Installs
CMP00158,CL0181,Social Media Marketing - Lead Generation,Socialmediamarketing,YouTube Ads,2025-12-05,2026-09-06,46922.0,Lead Generation
CMP00159,CL0159,PPC - Website Traffic,Payperclick,Google Ads,2025-04-09,2026-07-19,111524.0,Website Traffic
CMP00160,CL0178,Content Marketing - App Installs,Contentmarketing,LinkedIn,2026-02-19,2026-09-06,49228.0,App Installs
CMP00161,CL0040,Social Media Marketing - Brand Awareness,Socialmediamarketing,Instagram,2026-04-15,2026-09-06,49958.0,Brand Awareness
CMP00162,CL0305,Social Media Marketing - Sales / Conversions,Socialmediamarketing,LinkedIn Ads,2025-02-20,2026-03-08,40094.0,Sales / Conversions
CMP00163,CL0077,Email Marketing - Local Footfall,Emailmarketing,Email,2025-07-03,2026-09-06,13043.0,Local Footfall
CMP00164,CL0218,PPC - Sales / Conversions,Payperclick,Google Ads,2025-01-17,2025-11-14,128974.0,Sales / Conversions
CMP00165,CL0240,SEO - App Installs,Seo,Organic Search (Google),2025-03-02,2026-06-20,23051.0,App Installs
CMP00166,CL0111,Social Media Marketing - Website Traffic,Socialmediamarketing,YouTube Ads,2024-10-29,2026-09-02,55990.5,Website Traffic
CMP00167,CL0042,Local SEO / GMB - Website Traffic,Localseo/Gmb,Google My Business,2025-11-22,2026-09-06,17107.0,Website Traffic
CMP00168,CL0095,PPC - Website Traffic,Payperclick,Bing Ads,2025-02-18,2026-07-12,81442.0,Website Traffic
CMP00169,CL0259,PPC - Website Traffic,Payperclick,Google Ads,2025-04-18,2026-09-06,122286.0,Website Traffic
CMP00170,CL0291,SEO - App Installs,Seo,Unknown,2026-01-08,2026-09-06,37669.0,App Installs
CMP00171,CL0300,Email Marketing - Local Footfall,Emailmarketing,Email,2026-02-13,2026-09-06,23179.0,Local Footfall
CMP00172,CL0073,PPC - Brand Awareness,Payperclick,Bing Ads,2024-10-04,2026-04-30,44030.0,Brand Awareness
CMP00173,CL0195,Social Media Marketing - Local Footfall,Socialmediamarketing,Meta Ads,2025-05-31,2026-09-06,55990.5,Local Footfall
CMP00174,CL0000,Local SEO / GMB - Website Traffic,Localseo/Gmb,Organic Search (Google),2026-07-08,2026-09-06,10178.0,Website Traffic
CMP00175,CL0228,SEO - Website Traffic,Seo,Organic Search (Google),2025-12-03,2026-06-09,28471.0,Website Traffic
CMP00176,CL0134,Social Media Marketing - Brand Awareness,Socialmediamarketing,Instagram,2024-11-10,2026-07-20,18449.0,Brand Awareness
CMP00177,CL0229,Social Media Marketing - Sales / Conversions,Socialmediamarketing,LinkedIn Ads,2025-10-01,2026-09-06,72994.0,Sales / Conversions
CMP00178,CL0220,Content Marketing - Website Traffic,Contentmarketing,LinkedIn,2025-05-21,2026-08-24,34309.0,Website Traffic
CMP00179,CL0318,PPC - Sales / Conversions,Payperclick,Bing Ads,2025-08-20,2026-07-08,116219.0,Sales / Conversions
CMP00180,CL0157,PPC - Brand Awareness,Payperclick,Google Ads,2025-01-20,2026-01-01,42909.0,Brand Awareness
CMP00181,CL0110,SEO - App Installs,Seo,Organic Search (Google),2025-05-27,2026-05-15,29949.0,App Installs
CMP00182,CL0169,Content Marketing - Sales / Conversions,Contentmarketing,Organic Search (Google),2025-05-18,2026-04-04,37053.0,Sales / Conversions
CMP00183,CL0053,Content Marketing - Website Traffic,Contentmarketing,Unknown,2025-04-14,2026-05-29,43061.0,Website Traffic
CMP00184,CL0036,SEO - Lead Generation,Seo,Organic Search (Google),2025-12-05,2026-09-06,54855.0,Lead Generation
CMP00185,CL0167,PPC - Lead Generation,Payperclick,Bing Ads,2025-06-28,2026-09-06,29580.0,Lead Generation
CMP00186,CL0265,Email Marketing - Local Footfall,Emailmarketing,Email,2024-11-24,2026-02-28,13050.0,Local Footfall
CMP00187,CL0171,SEO - Lead Generation,Seo,Organic Search (Google),2025-02-18,2026-08-05,15483.0,Lead Generation
CMP00188,CL0251,PPC - App Installs,Payperclick,Bing Ads,2025-04-30,2026-08-04,126407.0,App Installs
CMP00189,CL0057,Social Media Marketing - Local Footfall,Socialmediamarketing,Instagram,2026-07-06,2026-09-06,25452.0,Local Footfall
CMP00190,CL0144,PPC - Sales / Conversions,Payperclick,Bing Ads,2025-06-20,2026-07-22,126879.0,Sales / Conversions
CMP00191,CL0197,PPC - Local Footfall,Payperclick,Google Ads,2025-03-29,2026-09-06,40281.0,Local Footfall
CMP00192,CL0112,Social Media Marketing - Sales / Conversions,Socialmediamarketing,LinkedIn Ads,2026-04-06,2026-09-06,16306.0,Sales / Conversions
CMP00193,CL0005,SEO - Local Footfall,Seo,Unknown,2025-11-07,2026-08-29,54551.0,Local Footfall
CMP00194,CL0024,Social Media Marketing - Brand Awareness,Socialmediamarketing,Instagram,2024-12-10,2026-07-25,52299.0,Brand Awareness
CMP00195,CL0297,Social Media Marketing - Sales / Conversions,Socialmediamarketing,Meta Ads,2025-01-18,2026-09-06,51123.0,Sales / Conversions
CMP00196,CL0194,Social Media Marketing - Sales / Conversions,Socialmediamarketing,Instagram,2025-03-06,2026-08-21,69972.0,Sales / Conversions
CMP00197,CL0085,SEO - App Installs,Seo,Organic Search (Google),2025-11-20,2026-09-06,27371.0,App Installs
CMP00198,CL0083,Email Marketing - Lead Generation,Emailmarketing,Email,2026-07-08,2026-09-06,18815.0,Lead Generation
CMP00199,CL0013,SEO - App Installs,Seo,Organic Search (Google),2026-07-01,2026-09-06,34308.0,App Installs
CMP00200,CL0303,Content Marketing - Lead Generation,Contentmarketing,YouTube,2025-04-18,2026-05-27,20906.0,Lead Generation
CMP00201,CL0035,PPC - Brand Awareness,Payperclick,Google Ads,2024-11-18,2026-08-28,71329.0,Brand Awareness
CMP00202,CL0244,Content Marketing - Website Traffic,Contentmarketing,Organic Search (Google),2026-01-23,2026-09-06,10245.0,Website Traffic
CMP00203,CL0077,SEO - Lead Generation,Seo,Organic Search (Google),2025-07-03,2026-09-06,28565.0,Lead Generation
CMP00204,CL0108,SEO - Sales / Conversions,Seo,Organic Search (Google),2024-11-26,2026-03-31,41615.0,Sales / Conversions
CMP00205,CL0088,Social Media Marketing - Local Footfall,Socialmediamarketing,Instagram,2025-04-15,2026-09-06,26721.0,Local Footfall
CMP00206,CL0264,SEO - App Installs,Seo,Organic Search (Google),2025-03-05,2026-12-04,20334.0,App Installs
CMP00207,CL0011,PPC - Lead Generation,Payperclick,Unknown,2026-07-08,2026-09-06,105269.0,Lead Generation
CMP00208,CL0113,Content Marketing - Website Traffic,Contentmarketing,LinkedIn,2024-11-15,2026-05-02,27129.0,Website Traffic
CMP00209,CL0090,Content Marketing - Website Traffic,Contentmarketing,Unknown,2026-04-08,2026-09-06,15464.0,Website Traffic
CMP00210,CL0088,SEO - Lead Generation,Seo,Organic Search (Google),2025-04-15,2026-09-06,48652.0,Lead Generation
CMP00211,CL0062,Email Marketing - Website Traffic,Emailmarketing,Email,2025-02-24,2026-04-02,20508.0,Website Traffic
CMP00212,CL0292,Content Marketing - Website Traffic,Contentmarketing,Organic Search (Google),2025-02-27,2026-06-24,11390.0,Website Traffic
CMP00213,CL0122,Email Marketing - App Installs,Emailmarketing,Email,2026-04-15,2026-09-06,9033.0,App Installs
CMP00214,CL0134,Social Media Marketing - Brand Awareness,Socialmediamarketing,LinkedIn Ads,2025-02-27,2026-07-25,46479.0,Brand Awareness
